status,source_page,anchor_text,broken_target
404,https://insurancy.com/life-insurance/health-conditions/cancer/,final expense policy,https://quote.insurancy.com/quote/final_expense/
404,https://insurancy.com/life-insurance/health-conditions/cancer/,guaranteed issue life insurance,https://quote.insurancy.com/quote/guaranteed/_issue
404,https://insurancy.com/life-insurance/health-conditions/diabetes/,American Diabetes Association,https://www.diabetes.org/diabetes-basics/type-1/
404,https://insurancy.com/life-insurance/health-conditions/diabetes/,American Diabetes Association,https://www.diabetes.org/diabetes-basics/type-2
404,https://insurancy.com/life-insurance/is-primerica-a-pyramid-scheme/,saying that it is short-sighted and not always the best fit for every customer,https://www.investmentnews.com/article/20150728/BLOG05/150729897/new-life-insurance-study-debunks-buy-term-invest-the-difference
404,https://insurancy.com/life-insurance/mortgage-life-insurance/,Accidental Quote,https://quote.insurancy.com/quote/accidental_death/
404,https://insurancy.com/life-insurance/reviews/bestow/,Bestow,https://agent-quote.bestow.com/ac174754
404,https://insurancy.com/life-insurance/reviews/bestow/,Get a Bestow Quote,https://agent-quote.bestow.com/ac174754
404,https://insurancy.com/life-insurance/reviews/columbian/,Elite Term Brochure,https://www.northamericancompany.com/documents/434862/4c60097f-fe08-7d3f-9617-b8c1b52b0c71
404,https://insurancy.com/life-insurance/reviews/north-american-company/,Elite Term Brochure,https://www.northamericancompany.com/documents/434862/4c60097f-fe08-7d3f-9617-b8c1b52b0c71
404,https://insurancy.com/life-insurance/reviews/primerica/,Bestow insurance,https://agent-quote.bestow.com/ac174754
404,https://insurancy.com/life-insurance/riders/long-term-care/,nursing home care costs,https://www.payingforseniorcare.com/longtermcare/paying-for-nursing-homes.html
404,https://insurancy.com/life-insurance/underwriting-your-life-insurance-application/,Annual Global Road Crash Statistics,https://www.asirt.org/safe-travel/road-safety-facts/
404,https://insurancy.com/life-insurance/washington-state-long-term-care-tax/,considered self-employed,https://paidleave.wa.gov/help-center/self-employed/
404,https://insurancy.com/life-insurance/washington-state-long-term-care-tax/,Washington State Hospital Association,https://www.wsha.org/articles/new-state-employee-payroll-tax-law-for-long-term-care-benefits/
404,https://insurancy.com/life-insurance/what-is-a-viatical-settlement/,licensed providers,https://www.ncdoi.gov/media/21/open
404,https://insurancy.com/medicare/medicare-vs-medicaid-whats-the-difference/,list of state MSP websites,https://www.medicare.gov/Contacts/staticpages/msps.aspx
